NumberWithDash,EPM_ProductionControlItemID,EPM_MainMark,EPM_InstanceNumber,Assembly_MainPieceProductionCode,Assembly_MainPartLengthFt,Assembly_WeightEachLbs,Assembly_SurfaceAreaEachSqFt,Assembly_MainPartShape,Assembly_MainPartDimension,Assembly_MainPartFinishDescr,Assembly_TotalQuantityInJob,Assembly_NumSmallParts,EPM_AdjustedStationName,TimeInSeconds_ThisWorkSegment,Assembly_EstTotalHours_ThisLaborGroup
19-048,870038,T124,1,S.S. TUBE STEEL,2.81,39.575,4.43,HSS,4 x 2 x 0.25,N - No Paint,1,2,Fab/Layout,142,0.0
19-048,870040,T125,1,S.S. TUBE STEEL,7.91,112.116,12.5,HSS,4 x 2 x 0.25,N - No Paint,2,2,Fab/Layout,124,0.0
19-048,870040,T125,1,S.S. TUBE STEEL,7.91,112.116,12.5,HSS,4 x 2 x 0.25,N - No Paint,2,2,Weld,47,0.0
19-048,870040,T125,2,S.S. TUBE STEEL,7.91,112.116,12.5,HSS,4 x 2 x 0.25,N - No Paint,2,2,Fab/Layout,124,0.0
19-048,870040,T125,2,S.S. TUBE STEEL,7.91,112.116,12.5,HSS,4 x 2 x 0.25,N - No Paint,2,2,Weld,48,0.0
20-137,649474,P208,16,S.S. PLATE,0.74,5.374,0.73,PL,3/8 x 7 7/8    §,N - No Paint,20,1,Fab/Layout,12,0.0
20-137,649474,P208,17,S.S. PLATE,0.74,5.374,0.73,PL,3/8 x 7 7/8    §,N - No Paint,20,1,Fab/Layout,11,0.0
20-137,649474,P208,18,S.S. PLATE,0.74,5.374,0.73,PL,3/8 x 7 7/8    §,N - No Paint,20,1,Fab/Layout,12,0.0
20-137,649474,P208,19,S.S. PLATE,0.74,5.374,0.73,PL,3/8 x 7 7/8    §,N - No Paint,20,1,Fab/Layout,11,0.0
20-137,649474,P208,20,S.S. PLATE,0.74,5.374,0.73,PL,3/8 x 7 7/8    §,N - No Paint,20,1,Fab/Layout,12,0.0
20-137,866744,R102,1,ALUM PIPE,2.51,17.328,6.7,API,3 1/2SCH40,T - Coal Tar For Aluminum,8,3,Fab/Layout,249,0.0
20-137,866744,R102,2,ALUM PIPE,2.51,17.328,6.7,API,3 1/2SCH40,T - Coal Tar For Aluminum,8,3,Fab/Layout,36,0.0
20-137,866744,R102,3,ALUM PIPE,2.51,17.328,6.7,API,3 1/2SCH40,T - Coal Tar For Aluminum,8,3,Fab/Layout,35,0.0
